48,53,74
85,77,8
96,26,66
88,88,27
48,2,74
0,4,99
44,54,28
12,37,89
12,97,42
75,83,32
57,39,42
39,48,90
79,82,1
30,81,60
27,60,69
2,48,0
27,57,54
58,96,68
17,49,1
16,38,45
77,15,77
59,39,98
32,18,54
12,8,64
33,13,37
63,57,75
64,26,0
76,20,94
31,11,11
2,46,70
55,63,44
24,40,45
75,60,23
61,85,56
88,79,38
35,25,61
17,48,58
89,9,60
59,41,57
5,27,30
32,90,56
44,90,54
84,30,33
20,50,35
33,9,40
58,19,88
74,42,56
84,79,48
21,45,71
38,70,8
3,59,25
40,4,88
37,10,16
63,41,42
74,51,10
15,16,81
93,21,12
73,32,10
21,61,68
21,86,99
59,65,49
94,12,48
13,69,73
5,16,54
13,8,16
14,7,18
100,22,23
93,6,61
60,15,86
76,34,68
31,50,75
18,65,87
5,52,31
39,95,94
0,33,57
70,66,71
58,44,59
32,31,49
83,23,7
33,34,17
29,4,24
15,94,57
10,57,54
67,41,99
34,2,77
37,48,41
21,59,43
52,25,8
83,42,100
0,72,84
82,6,86
16,67,59
96,37,85
70,66,63
78,12,89
74,36,35
3,62,8
48,4,48
61,9,96
30,47,0
